Title,Price_AED,Location,Type,Bedrooms,Bathrooms,Area_SqFt
Vacant Unit | Fully Furnished | Luxury Home,85000,"Laya Heights, Dubai Studio City, Dubai",Apartment,1,2,742
Upgraded Unit | Fully Furnished | Sea View,125000,"Rimal 3, Rimal, Jumeirah Beach Residence, Dubai",Apartment,1,2,1157
Keys with me I Independent I Urgent Rent,375000,"Tilal Al Furjan, Al Furjan, Dubai",Villa,4,5,4613
Fully Furnished | Spacious Unit | Rady to Move,100000,"Giovanni Boutique Suites, Dubai Sports City, Dubai",Apartment,2,2,881
LARGEST LAYOUT | PRIVATE POOL | 2BR + STUDY,240000,"Springs 9, The Springs, Dubai",Townhouse,2,3,3578
Fully Furnished | Renovated | Community view,65000,"Suburbia Podium, Suburbia, Downtown Jebel Ali, Dubai",Apartment,1,2,751
Brand New | 4BR Luxury Villa | Pool and Elevator,700000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,5,13855
Hot Deal | Premium Italian Furniture | Park View,520000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Apartment,2,3,1779
On the Park and Pool|Appliances|Landscaped,290000,"Aura Gardens, Tilal Al Ghaf, Dubai",Townhouse,4,5,2453
Breathtaking Creek View | High Floor | Vacant,195000,"D1 Tower, Culture Village, Dubai",Apartment,1,2,1037
2 Bedroom | Prime Location | Vacant Now,170000,"Vida Residence 2, Vida Residence, The Hills, Dubai",Apartment,2,2,1298
Luxury Penthouse | High Floor | Vacant,1150000,"The S Tower, Dubai Internet City, Dubai",Penthouse,4,5,5062
Play Park | Best Location | D2 | Private Pool,650000,"Legacy, Jumeirah Park, Dubai",Villa,5,6,4689
Vacant | Garden and Sea View | Upgraded,450000,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai",Apartment,2,3,1677
Contemporary Villa | Brand New | Garden Area,700000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,6,12001
Single Storey Villa | Brand New | Garden Area,350000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,6,12925
Contemporary Design | Ultra Luxury | Burj View,1100000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Apartment,3,5,2436
NEAR TO CENTRAL PARK | READY TO MOVE IN | 2BEDROOM,100000,"Warda Apartments 1A, Warda Apartments 1, Warda Apartments, Town Square, Dubai",Apartment,2,2,941
Charming Studio:Affordable for family,20000,"Fire Station Road, Muwaileh, Sharjah",Apartment,studio,1,300
Fully Upgraded | Huge Unit | Available Now,270000,"Azure, Dubai Marina, Dubai",Apartment,3,3,2028
Brand New | Contemporary 5BR Villa W Private Pool,1100000,"Al Barsha South 2, Al Barsha South, Al Barsha, Dubai",Villa,5,6,10000
LARGE 2BR - WATERFRONT LUXURY | UNIQUE,265000,"Palace Beach Residence Tower 1, Palace Beach Residence, EMAAR Beachfront, Dubai Harbour, Dubai",Apartment,2,2,1199
Premium 1 Duplex | Luxury Furnished | Burj View,500000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Duplex,1,2,1500
Luxury Duplex | Italian Furniture | Park View,750000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Duplex,2,3,2469
Private Parking | Beach Access | Exclusive,1000000,"Sunset Residence, Jumeirah 3, Jumeirah, Dubai",Apartment,3,4,6400
Great Location | Single Row | Vacant,200000,"Joy, Arabian Ranches 3, Dubai",Townhouse,4,4,2665
Brand New | Dream Interiors | Stunning Views,1100000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Apartment,3,4,2436
Private Pool | Park View | Brand New,1300000,"Palm Hills, Dubai Hills Estate, Dubai",Villa,5,6,7104
High-Floor | Iconic Design | Private Pool,110000,"Binghatti Phantom, District 17, Jumeirah Village Circle, Dubai",Apartment,1,2,795
High Floor | Burj View | Prime Location,119999,"UPSIDE Living, Business Bay, Dubai",Apartment,studio,1,474
FULLY FURNISHED | CLOSE TO BEACH | VACANT,85000,"Murjan 2, Murjan, Jumeirah Beach Residence, Dubai",Apartment,studio,1,714
Contemporary Villa | Brand New | Garden Area,700000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,6,12001
Single Storey Villa | Brand New | Garden Area,350000,"Nad Al Sheba Villas, Nad Al Sheba 3, Nad Al Sheba, Dubai",Villa,4,6,12925
Contemporary Design | Ultra Luxury | Burj View,1100000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Apartment,3,5,2436
NEAR TO CENTRAL PARK | READY TO MOVE IN | 2BEDROOM,100000,"Warda Apartments 1A, Warda Apartments 1, Warda Apartments, Town Square, Dubai",Apartment,2,2,941
Vacant | Marina Skyline View | Mid Number,1100000,"Garden Homes Frond C, Garden Homes, Palm Jumeirah, Dubai",Villa,5,6,5000
PANORAMIC SEA VIEW l CENTRAL LOCATION l VACANT,130000,"Princess Tower, Dubai Marina, Dubai",Apartment,2,2,1186
Charming Studio:Affordable for family,20000,"Fire Station Road, Muwaileh, Sharjah",Apartment,studio,1,300
Best Price | Bigger Size | Ready To Move In,340000,"The Address Sky View Tower 1, The Address Sky View Towers, Downtown Dubai, Dubai",Apartment,2,3,1543
Fully Upgrade | Fully Furnished | Sea View,1000000,"Apartment Building 2, Bluewaters Residences, Bluewaters, Dubai",Apartment,4,5,2468
Brand New Modern Villa | Private Pool+Garden+Maids,550000,"Umm Suqeim 1 Villas, Umm Suqeim 1, Umm Suqeim, Dubai",Villa,4,4,4500
RENOVATED - Full Kitchen+ All Bathrooms + Bedrooms,450000,"Jumeirah 1 Villas, Jumeirah 1, Jumeirah, Dubai",Villa,4,4,4000
Well Furnished | Partial Burj View | Genuine,200000,"Boulevard Central Tower 2, Boulevard Central Towers, Downtown Dubai, Dubai",Apartment,2,2,1267
Brand New Villa| 3 BR + Maids Room | Damac Hills 2,115000,"Coursetia, Damac Hills 2, Dubai",Villa,3,5,1881
Fully Upgraded | Huge Unit | Available Now,270000,"Azure, Dubai Marina, Dubai",Apartment,3,3,2028
Brand New | Luxurious Villa | Corner Plot,400000,"Caya 1, Arabian Ranches 3, Dubai",Villa,4,4,6281
Brand New | Contemporary 5BR Villa W Private Pool,1100000,"Al Barsha South 2, Al Barsha South, Al Barsha, Dubai",Villa,5,6,10000
Multiple Cheques | Close to Pool &amp; Gym | Opposite Park,145000,"Nara, The Valley, Dubai",Townhouse,3,4,2089
Upgrade | Fully Furnished | Panoramic Sea View,1500000,"Apartment Building 10, Bluewaters Residences, Bluewaters, Dubai",Apartment,4,6,2581
Panoramic Sea View | Fully Upgraded | Furnished,500000,"1 JBR, Jumeirah Beach Residence, Dubai",Apartment,2,3,1925
Vacant | 4 Cheques | Brand New,200000,"Park Field Tower 2, Park Field, Dubai Hills Estate, Dubai",Apartment,2,2,1013
Ain Dubai View | Fully Furnished | Brand New,650000,"Apartment Building 8, Bluewaters Residences, Bluewaters, Dubai",Apartment,3,5,2097
Full Sea View | Large Balcony | Spacious,450000,"Apartment Building 5, Bluewaters Residences, Bluewaters, Dubai",Apartment,2,3,1597
Fully Furnished | Garden View | Vacant,420000,"Apartment Building 5, Bluewaters Residences, Bluewaters, Dubai",Apartment,2,3,1372
Premium 1 Duplex | Luxury Furnished | Burj View,500000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Duplex,1,2,1500
Luxury Duplex | Italian Furniture | Park View,750000,"One Za'abeel The Residences, Zabeel 1, Zabeel, Dubai",Duplex,2,3,2469
Upgraded | Luxurious | Video Available,195000,"South Ridge 6, South Ridge, Downtown Dubai, Dubai",Apartment,2,3,1488
Private Parking | Beach Access | Exclusive,1000000,"Sunset Residence, Jumeirah 3, Jumeirah, Dubai",Apartment,3,4,6400
Single Row | Vacant | End Unit,320000,"Maple at Dubai Hills Estate 1, Maple at Dubai Hills Estate, Dubai Hills Estate, Dubai",Villa,4,4,2462
PRIME LOCATION - LOW FLOOR - PREFECT CONDITION,105000,"Continental Tower, Dubai Marina, Dubai",Apartment,2,4,1227
Low Price | Prime Location | Brand New,750000,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",Villa,4,5,6486
2 BR+Maid | Fully Upgraded | Vacant Now,225000,"Al Khushkar, Shoreline Apartments, Palm Jumeirah, Dubai",Apartment,2,4,1586
Free Tesla | Brand New | Park Backing,400000,"Caya 1, Arabian Ranches 3, Dubai",Villa,4,4,4896
Single Row | End Corner | Triplex | On Wadi River,400000,"Bliss, Arabian Ranches 3, Dubai",Villa,4,4,3110
Ready Villa | 4BR+Maids | Private Garden + Pool,350000,"Jumeirah 1 Villas, Jumeirah 1, Jumeirah, Dubai",Villa,4,5,3800
RENOVATED VILLA | Shared Pool+Gym+Garden | Maids,500000,"Jumeirah 3 Villas, Jumeirah 3, Jumeirah, Dubai",Villa,4,4,4500
3BR+MAID | UNFURNISHED| VACANT,360000,"The Fairmont Palm Residence North, The Fairmont Palm Residences, Palm Jumeirah, Dubai",Apartment,3,5,2174
Exclusvie | 5BR | Fully Vastu | New Pool,650000,"Legacy, Jumeirah Park, Dubai",Villa,5,6,4689
Contemporary | Brand-New 6BR Villa with Pool,1399900,"Nad Al Sheba 4, Nad Al Sheba, Dubai",Villa,6,7,41000
Independent Villa | Spacious | Private Pool+Garden,420000,"Umm Suqeim 3 Villas, Umm Suqeim 3, Umm Suqeim, Dubai",Villa,4,4,4500
Brand New | Ready to Move | Close to Amenities,140000,"Orania, The Valley, Dubai",Townhouse,3,3,1873
Plus Maids Room | Spacious | Vacant,170000,"Talia, The Valley, Dubai",Townhouse,4,4,2772
Morden Interiors | Pool And Backyard | Huge Layout,409999,"Al Furjan West, Al Furjan, Dubai",Villa,5,7,6458
Single Row | Keys in Hand | Close to Gym and Pool,230000,"Aura Gardens, Tilal Al Ghaf, Dubai",Villa,3,4,2170
Luxury Penthouse | Hot Deal Offer | Vacant,700000,"The S Tower, Dubai Internet City, Dubai",Apartment,4,6,5063
Fully Furnished | Stunning Downtown Views,400000,"The Address Sky View Tower 1, The Address Sky View Towers, Downtown Dubai, Dubai",Apartment,2,3,1699
3 Bed Large | Jacuzzi | Extended | Landscaped,400000,"Legacy, Jumeirah Park, Dubai",Villa,3,4,3527
Stylish 2BR | Fully Furnished | Vacant | Book Now,460000,"Apartment Building 7, Bluewaters Residences, Bluewaters, Dubai",Apartment,2,3,1670
Luxury Hotel | Fully Serviced | All Bills Included,350000,"Al Jaddaf Rotana Suite Hotel, Al Jaddaf, Dubai",Hotel & Hotel Apartment,3,4,3000
Luxury Hotel | Fully Serviced | All Bills Included,155000,"Al Jaddaf Rotana Suite Hotel, Al Jaddaf, Dubai",Hotel & Hotel Apartment,1,2,1067
EXCLUSIVE | Upgraded Kitchen | Well Maintained,245000,"Springs 14, The Springs, Dubai",Villa,3,3,2456
FURNISHED 1BR | BOULEVARD VIEW | GREAT LOCATION,85000,"The Regent, Town Square, Dubai",Apartment,1,1,579
Exclusive 5 Bedroom Villa with Private Pool,13750000,"Jumeirah Bay Island Villas, Jumeirah Bay Island, Jumeirah, Dubai",Villa,5,6,12000
Single Row | Linear Park | Type B | Landscaped,120000,"Greenview, EMAAR South, Dubai South (Dubai World Central), Dubai",Townhouse,3,4,1518
Single Row | Upgraded Kitchen | Middle Unit,220000,"Santorini, Damac Lagoons, Dubai",Townhouse,4,3,1550
apartment for ejari document purpose,10000,"Al Shamsi 1, Muwaileh Commercial, Sharjah",Apartment,studio,0,90
Burj And Mall View | Vacant | Corner Unit,330000,"Downtown Views II Tower 1, Downtown Views II, Zabeel 2, Zabeel, Dubai",Apartment,3,4,1780
Family Villa / 4 Bed Mediterranean / Landscaped,945000,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",Villa,4,6,7679
High Floor | Full Burj Views | Quiet,235000,"South Ridge 1, South Ridge, Downtown Dubai, Dubai",Apartment,2,3,1635
Full Marina View | Corner Unit | Furnished,379999,"Sunrise Bay Tower 1, Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",Apartment,3,3,1910
View Now | Single Row | Near Amenities,180000,"Ruba, Arabian Ranches 3, Dubai",Villa,3,4,1559
PET Friendly | High Floor | NegotiableÂ Cheques,120000,"Park Field Tower 1, Park Field, Dubai Hills Estate, Dubai",Apartment,1,1,647
Vacant | Chiller Free | Unfurnished,300000,"5242 Tower 2, 5242, Dubai Marina, Dubai",Apartment,3,5,1727
Waterfront | Harbour View | Fully Furnished,250000,"Sunrise Bay Tower 2, Sunrise Bay, EMAAR Beachfront, Dubai Harbour, Dubai",Apartment,2,3,1231
Largest Lay Out | Full Marina View | All En-Suite,239999,"Marina Tower, Dubai Marina, Dubai",Apartment,3,5,1854
BRAND NEW | READY TO MOVE | 3BEDROOM TH,180000,"Mudon Al Ranim 1, Mudon, Dubai",Townhouse,3,4,1808
Classy Unit | Unfurnished | Community View,78000,"West View Terraces, Jumeirah Village Circle, Dubai",Apartment,1,2,878
Modern 5 Bedroom / Burj View / Maintenance Free,1199999,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",Villa,5,7,8305
High Floor | Best Layout | SZR View,185000,"Limestone House, DIFC, Dubai",Apartment,1,2,1237
Exclusive | High Floor | DIFC View,175000,"Burj Daman, DIFC, Dubai",Apartment,1,2,919
Modern Family Villa | Single Row | Vacant,330000,"June, Arabian Ranches 3, Dubai",Villa,4,5,3250
Corner Unit | Extended | Large Plot | 3 Bedroom,400000,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai",Villa,3,4,435
Park Backing | Corner Unit | Well Maintained,490000,"Sidra Villas III, Sidra Villas, Dubai Hills Estate, Dubai",Villa,4,5,3593
Canal View | Delux Upgrade | Genuine listing,229999,"Murjan 1, Murjan, Jumeirah Beach Residence, Dubai",Apartment,3,4,1922
Modern Unit | Fully Furnished  | Available Now,125000,"Park Point Building C, Park Point, Dubai Hills Estate, Dubai",Apartment,1,1,693
Contemporary Villa | Garden Area | Car Parking,600000,"Nad Al Sheba Gardens 1, Nad Al Sheba Gardens, Nad Al Sheba, Dubai",Villa,6,7+,12543
Burj Khalifa View | High Floor | Chiller Free,320000,"Boulevard Point, Downtown Dubai, Dubai",Apartment,3,4,1821
Multiple Options| 1 Month Free| Brand New| Luxury,154999,"Al Badia Living, Dubai Festival City, Dubai",Apartment,2,3,1257
Fully Furnished | 2-Bedroom | JVC,100000,"Ghalia Tower, District 18, Jumeirah Village Circle, Dubai",Apartment,2,3,1127
Charming 1 BR Apartment with 2 washrooms,33000,"Fire Station Road, Muwaileh, Sharjah",Apartment,1,2,850
Brand New | Modern Style 5BR Villa with Pool,700000,"Nad Al Sheba Gardens 1, Nad Al Sheba Gardens, Nad Al Sheba, Dubai",Villa,5,7,12722
Brand New | Modern Style 5BR Villa + Maid + Driver,500000,"Nad Al Sheba Gardens 1, Nad Al Sheba Gardens, Nad Al Sheba, Dubai",Villa,5,6,12529
Furnished | 5BR | Best Lake View | Extended,625000,"Legacy, Jumeirah Park, Dubai",Villa,5,6,4689
Vacant | Brand New | Chiller Free,89999,"Samana Park Views, Arjan, Dubai",Apartment,1,2,628
Exclusive | Custom | 7 Bedroom | Vacant,1600000,"Jumeirah Park Homes, Jumeirah Park, Dubai",Villa,7,7+,8227
Close To Amenities | Vacant Now | Lovely Community,175000,"La Rosa 5, La Rosa, Villanova, Dubai Land, Dubai",Townhouse,3,4,1732
Best Priced | Incredible Renovation | Vacant,2000000,"Signature Villas Frond P, Signature Villas, Palm Jumeirah, Dubai",Villa,6,7,7000
Unfurnished | Modern Villa | Large Plot,1600000,"Entertainment Foyer, Mediterranean Clusters, Jumeirah Islands, Dubai",Villa,5,6,5800
High Floor | Vacant | Prime Location,119999,"Aykon City Tower C, Aykon City, Business Bay, Dubai",Apartment,2,3,897
Brand New | Modern Finishes | Available Now,165000,"Greenwoods, DAMAC Hills, Dubai",Townhouse,3,3,1980
Huge Plot | Mature Landscaping | Private,350000,"Casa, Arabian Ranches 2, Dubai",Villa,5,6,6669
Land Scaped | Brand New | Prime Location,850000,"District One Villas, District One, Mohammed Bin Rashid City, Dubai",Villa,4,5,6135
